EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
9.320283019,TAP,2016,-0.807956778,122.6087406,19470268000,0.016042349,29.62609251,0.55604534,0.536580192,1,1
6.56545961,TAP,2017,3.542963307,59.34235385,19185383000,0.026728065,6.206250768,0.27312094,1.48998421,2,1
6.56545961,TAP,2017,2.726555246,29.4973622,17981592000,0.046090684,6.970690029,0.145177165,1.286909973,4,1
-4.007026398,AMRS,2011,-0.763674524,-130.68,17384785246,-0.118185449,467.6597957,0,0.248265387,1,0
6.56545961,TAP,2017,0.997678737,67.5,17005830000,0.022421166,5.898248474,0.315357143,1.456534969,3,1
1.94009714,TAP,2015,0.907717215,134.89,16765944000,0.004657106,6.973316142,2.295731707,0.743049837,4,1
1.94009714,TAP,2015,1.050673854,150.09,16342550000,0.00228956,16.06305288,4.56626506,0.74410714,3,1
5.168981481,TAP,2018,0.49536608,34.65,15373592000,0.020682885,6.593863178,0.318230852,1.244885058,1,1
-4.007026398,AMRS,2011,-4.331959345,-118.56,15362028864,-0.17099772,480.0333999,0,0.296564311,2,0
5.168981481,TAP,2018,3.88976378,33.99114124,14415643000,0.031237571,3.308616709,0.208677199,1.250998041,2,1
5.168981481,TAP,2018,1.755555556,185.6747368,14111280000,0.005626545,4.665811401,1.165789474,1.22913366,4,1
2.779881017,TAP,2014,0.813953488,149.1972051,14039457000,0.011966986,5.095991652,0.72794899,0.779952437,4,1
-4.007026398,AMRS,2011,-0.40271696,-110.687,13899750338,-0.215644197,383.1665657,0,0.479574349,3,0
1.138888889,TAP,2019,-1.369515012,91.79085205,13897135000,0.011093769,4.963085247,0.585865258,1.18531138,1,1
1.94009714,TAP,2015,-1.487082885,168.4113194,13658158000,0.011169107,19.51165429,0.939580764,0.783710457,1,1
2.779881017,TAP,2014,2.236058473,-112.78,13468324000,-0.003929507,11.53109932,-2.072727273,0.7663015,3,1
1.94009714,TAP,2015,1.800861141,22.67,13019006000,0.030103456,12.94521826,0.33231441,0.761144194,2,1
2.779881017,TAP,2014,1.979403794,11.4,12748950000,0.032459272,10.72692469,0.235476109,0.771144834,2,1
5.168981481,TAP,2018,1.638258453,37.98,12567539000,0.024401151,3.466811674,0.261897724,1.197784205,3,1
1.138888889,TAP,2019,3.758079409,45.8,12328872000,0.023698865,3.405765746,0.269277474,1.162798394,2,1
1.138888889,TAP,2019,2.819444444,23.5,12152160000,0.012371441,4.888238134,-1.807228916,0.601430914,4,1
1.138888889,TAP,2019,1.446906741,34.76,11479800000,-0.030313621,3.281818182,-0.30952381,1.18437367,3,1
2.779881017,TAP,2014,0.457948996,23.45,11052471000,0.018998012,13.54469485,0.417380661,0.786533967,1,1
2.880000002,TAP,2007,1.56274453,-125.78,10155511600,-0.007257777,6.805407061,-0.572110318,0.889870299,3,1
2.131868132,TAP,2008,1.580110497,123.9738272,10041880000,0.011325503,5.712104664,0.456790123,0.834871365,2,1
3.1,TAP,2013,2.027914614,81.81,9964458000,0.014691337,8.507904713,0.483579639,0.902491979,3,1
3.1,TAP,2013,0.341530055,74.88387833,9847230000,0.015221845,3.4895744,0.447908745,0.803481925,4,1
2.131868132,TAP,2008,-0.696132597,130.08,9790290000,0.005243021,7.219977876,0.756756757,0.806858438,1,1
3.1,TAP,2013,0.275729224,140.67,9359367000,0.004581076,11.29676162,1.634831461,1.051537105,1,1
3.929347826,TAP,2009,1.706521739,39.33389831,9282800000,0.033627814,10.86978923,0.186440678,0.63508122,3,1
3.1,TAP,2013,2.14591333,32.6555352,9091301000,0.034867556,7.717573005,0.210488506,1.018523389,2,1
3.806885422,TAP,2010,-0.410973642,82.06350638,9010573000,0.014079089,10.7898132,0.47723133,0.62814792,4,1
3.806885422,TAP,2010,1.637049004,35.174959,9008307000,0.033673,10.295208,0.199531433,0.596042338,3,1
3.657652785,TAP,2011,0.057249866,108.1945838,8969331000,0.010350338,12.99149913,0.628468034,0.60677454,1,1
-8.5,TAP,2020,-0.083333333,-77.02747826,8858160000,-0.009065111,4.214157945,-1.069565217,1.223001734,1,0
3.806885422,TAP,2010,1.515086207,36.36883642,8626688000,0.032466022,9.766430431,0.22301855,0.657163192,2,1
3.657652785,TAP,2011,1.00855615,38.60022442,8600130000,0.027358236,9.211793059,0.26929982,0.609089123,2,1
-0.815844846,TLRY,2018,-0.359711682,-125,8392278184,-0.099407806,835.3018995,0,0.189709432,3,0
3.929347826,TAP,2009,1.891304348,43.50425532,8178800000,0.028143713,10.24912281,0.239361702,0.651347305,2,1
3.806885422,TAP,2010,0.339622642,78.04832696,8163855000,0.014626507,12.35076399,0.427342256,0.675266381,1,1
2.450221239,TAP,2012,0.35840708,136.0218667,8161312000,0.00753116,2.990915821,0.97,1.034944583,4,1
3.929347826,TAP,2009,0.858695652,35.31479821,7875200000,0.031501625,9.592204629,-0.560538117,0.696143523,4,1
3.657652785,TAP,2011,0.841535965,45.41366051,7865646000,0.02264674,8.391812653,0.334872979,0.624472077,4,1
2.450221239,TAP,2012,2.106253459,39.58277218,7853222000,0.024120994,6.568985362,0.292842742,1.001957399,3,1
3.657652785,TAP,2011,1.491143317,39.44954407,7787340000,0.024996834,8.159409053,0.293819656,0.574002786,3,1
2.880000002,TAP,2007,1.664918182,21.45331789,7777256801,0.050706417,1.726290602,-0.236968995,0.875378616,4,1
2.450221239,TAP,2012,1.657807309,73.1850999,7691754000,0.013455728,7.696371823,0.552806851,1.078749936,2,1
2.131868132,TAP,2008,0.087912088,78.16618557,7582120000,0.016220736,10.25997294,-1.051546392,0.740133779,4,1
2.450221239,TAP,2012,0.092068774,94.30030189,7496874000,0.010182778,10.84303442,0.727044025,0.59289383,1,1
-8.5,SMG,2020,-5.321364452,28.39551546,7161349000,0.319361783,5.17887547,0.130848533,4.237052045,1,0
2.131868132,TAP,2008,1.291208791,40.86057803,7068880000,0.024233086,7.675222584,0.213872832,0.724331139,3,1
-5.578745861,AMRS,2010,-1.645524507,-103.7,6929656138,-0.083421667,233.0941551,0,0.162268409,4,0
3.929347826,TAP,2009,0.021857923,12.67,6670350000,0.012518531,11.93264758,0.473684211,0.629715039,1,1
-0.815844846,TLRY,2018,-0.425914306,-128.09,6431588147,-0.156886058,414.1129449,0,2.322322454,4,0
-4.007026398,AMRS,2011,-0.596619714,-105.2513373,6276347746,-0.370265504,151.0953019,0,0.987625115,4,0
3.675084175,SMG,2017,-3.991319444,-107.7,6172992000,-0.04176611,27.86903837,-1.452380952,4.789180589,4,1
3.675084175,SMG,2017,4.107744108,-130.78,5869314000,-0.052404439,51.53041264,-0.908823529,3.233970407,3,1
3.675084175,SMG,2017,-8.843333333,58.37675351,5826000000,0.147002504,4.01709991,0.600200401,4.653851819,2,1
3.675084175,SMG,2017,9.564489112,37.70133553,5730603000,0.208105148,5.316451433,0.194078947,3.583105148,3,1
8.300900901,SMG,2019,8.312274368,28.08453148,5664650000,0.251999,4.840340084,0.151214675,3.332083958,2,1
-0.003796497,CGC,2020,-4.294172763,-4.214410833,5568610608,-0.270410993,13.96439722,0,0.403445958,1,0
8.300900901,SMG,2019,5.241441441,-94.30215517,5469525000,-0.080701266,10.98960217,-0.55862069,3.214136636,3,1
5.160392799,SMG,2016,-3.757920925,-83.12721013,5428206821,-0.112625043,26.1726462,-0.45941807,4.173853053,4,1
5.160392799,SMG,2016,3.988543372,-199.7517407,5393297000,-0.037751678,13.4061571,-1.118518519,2.927293065,3,1
