,EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
49,2.268634317,MO,2013,0.67933967,95.74,70664650000,0.118475358,11.62247533,7.462976451,4,1
50,2.065217391,MO,2012,0.85770751,56.87,68208800000,0.348169192,10.92739507,10.15183081,4,1
51,4.540000002,MO,2003,1.011568966,87.35,66077037032,0.025806452,3.411131951,0.6883426029999999,1,1
52,2.065217391,MO,2012,0.895280236,71.3,65515140000,0.262901918,11.60176023,9.217508781,1,1
53,2.065217391,MO,2012,1.068540434,75.67,64409280000,0.169943094,10.31869273,8.06311433,3,1
54,-0.024272027999999998,GWPH,2019,-0.11523129900000001,108.09,60825802800,0.109409899,844.3571837000002,0.156243998,2,0
55,1.64244186,MO,2011,0.49370155,34.65,58596960000,0.227173913,9.560606951,9.044021739,4,1
56,1.64244186,MO,2011,0.9898599709999999,69.55,57076760000,0.265444671,9.344590701,7.418420457000001,3,1
57,1.64244186,MO,2011,0.9832053740000001,73.45,55934560000,0.17183201899999997,9.912202729,6.075738126,1,1
58,1.64244186,MO,2011,-0.774038462,89.3,54704000000,0.095834233,9.240540541,6.949924455,2,1
59,1.8801155509999998,MO,2010,0.666666667,23.4,52771920000,0.21961165,8.243036551,6.205825243,3,1
60,-0.024272027999999998,GWPH,2019,-0.067944927,130.67,49470146640,0.022131438,543.8012844,0.178135357,3,0
61,1.8801155509999998,MO,2010,0.478093404,53.76695321,49411830000,0.177003082,8.336735278999999,6.203775039,4,1
62,1.49,MO,2008,-1.14115285,48.68468467,45276756746,0.23640061,8.958598486,2.9021352310000004,2,1
65,1.49,MO,2008,0.913925082,68.96551723,42344827580,0.130416313,9.602001719,3.3135089210000004,1,1
66,-0.024272027999999998,GWPH,2019,-0.073569622,-120.08200000000001,41929087200,-0.034359272,384.402501,0.21516210000000002,4,0
67,1.49,MO,2008,1.293272502,10.1,39823068949,0.20751555800000002,7.602724122000001,2.646242221,3,1
68,0.0,MO,2009,-0.06526994400000001,-7.56,37457516661,0.23703305600000002,5.945637565,7.427304488,3,0
69,-8.5,GWPH,2020,-0.06716992299999999,-122.09,37210021200,-0.011139781999999999,308.45640249999997,0.050209439,1,0
70,0.0,MO,2009,-0.918225,36.33794493,36737662321,0.302422973,5.467727686,8.172898594,2,0
71,-8.5,YCBD,2020,-0.151060988,2.354435586,35042884800,0.161503402,3.6112538180000002,0.158785363,1,0
72,0.0,MO,2009,0.971205433,58.32142856,34351321419,0.212023038,7.594809069,10.99640029,1,0
73,1.49,MO,2008,0.46918123,50.51704539,34301073820,0.24009901,7.370235028,6.768387552999999,4,1
74,9.320283019,TAP,2016,1.414021791,106.869375,22057839000,0.0208075,23.27758442,1.237693432,3,1
75,9.320283019,TAP,2016,1.468929254,124.0387232,21371872000,0.017488302,21.67093085,0.555190159,2,1
76,6.56545961,TAP,2017,-1.38744186,102.41604570000001,20616350000,0.017355992,8.419304121,1.5471750169999998,1,1
77,9.320283019,TAP,2016,1.621698113,14.07093993,20239640000,0.125968806,5.0518270769999996,1.569600743,4,1
78,9.320283019,TAP,2016,-0.807956778,122.60874059999999,19470268000,0.016042348999999997,29.62609251,0.5365801920000001,1,1
79,6.56545961,TAP,2017,3.542963307,59.34235385,19185383000,0.026728065,6.206250767999999,1.48998421,2,1
80,6.56545961,TAP,2017,2.726555246,29.497362199999998,17981592000,0.04609068400000001,6.970690029,1.286909973,4,1
81,-4.007026398,AMRS,2011,-0.763674524,-130.68,17384785246,-0.118185449,467.65979569999996,0.248265387,1,0
82,6.56545961,TAP,2017,0.997678737,67.5,17005830000,0.022421166,5.898248474,1.456534969,3,1
83,1.94009714,TAP,2015,0.907717215,134.89,16765944000,0.004657105999999999,6.973316142000001,0.743049837,4,1
84,1.94009714,TAP,2015,1.050673854,150.09,16342550000,0.00228956,16.06305288,0.74410714,3,1
85,5.168981481,TAP,2018,0.49536608,34.65,15373592000,0.020682885,6.593863177999999,1.244885058,1,1
86,-4.007026398,AMRS,2011,-4.331959345,-118.56,15362028864,-0.17099772,480.0333999,0.296564311,2,0
87,5.168981481,TAP,2018,3.88976378,33.99114124,14415643000,0.031237571000000002,3.308616709,1.250998041,2,1
88,5.168981481,TAP,2018,1.755555556,185.6747368,14111280000,0.005626545,4.665811401,1.22913366,4,1
89,2.7798810169999997,TAP,2014,0.813953488,149.1972051,14039457000,0.011966986,5.0959916519999995,0.779952437,4,1
90,-4.007026398,AMRS,2011,-0.40271696,-110.68700000000001,13899750338,-0.21564419699999998,383.1665657,0.479574349,3,0
91,1.138888889,TAP,2019,-1.369515012,91.79085205,13897135000,0.011093769,4.9630852469999995,1.18531138,1,1
92,1.94009714,TAP,2015,-1.487082885,168.41131940000002,13658158000,0.011169107,19.51165429,0.7837104570000001,1,1
93,2.7798810169999997,TAP,2014,2.236058473,-112.78,13468324000,-0.0039295070000000005,11.53109932,0.7663015000000001,3,1
94,1.94009714,TAP,2015,1.800861141,22.67,13019006000,0.030103456,12.94521826,0.7611441940000001,2,1
95,2.7798810169999997,TAP,2014,1.979403794,11.4,12748950000,0.032459272000000004,10.72692469,0.7711448340000001,2,1
96,5.168981481,TAP,2018,1.6382584530000002,37.98,12567539000,0.024401151,3.4668116739999997,1.197784205,3,1
97,1.138888889,TAP,2019,3.7580794089999996,45.8,12328872000,0.023698865,3.405765746,1.162798394,2,1
98,1.138888889,TAP,2019,2.8194444439999997,23.5,12152160000,0.012371441,4.888238134,0.601430914,4,1
99,1.138888889,TAP,2019,1.4469067409999998,34.76,11479800000,-0.030313621000000002,3.281818182,1.18437367,3,1
100,2.7798810169999997,TAP,2014,0.457948996,23.45,11052471000,0.018998011999999998,13.54469485,0.786533967,1,1
101,2.880000002,TAP,2007,1.56274453,-125.78,10155511600,-0.007257776999999999,6.805407061,0.889870299,3,1
102,2.1318681319999997,TAP,2008,1.580110497,123.97382720000002,10041880000,0.011325503,5.712104664,0.834871365,2,1
103,3.1,TAP,2013,2.027914614,81.81,9964458000,0.014691336999999999,8.507904713,0.9024919790000001,3,1
104,3.1,TAP,2013,0.341530055,74.88387833,9847230000,0.015221845,3.4895744,0.803481925,4,1
105,2.1318681319999997,TAP,2008,-0.6961325970000001,130.08,9790290000,0.005243021,7.219977876000001,0.806858438,1,1
106,3.1,TAP,2013,0.275729224,140.67,9359367000,0.004581076,11.29676162,1.051537105,1,1
107,3.9293478260000003,TAP,2009,1.706521739,39.33389831,9282800000,0.033627814,10.86978923,0.63508122,3,1
108,3.1,TAP,2013,2.14591333,32.6555352,9091301000,0.034867556,7.717573005,1.018523389,2,1
109,3.8068854219999997,TAP,2010,-0.41097364200000003,82.06350638,9010573000,0.014079089,10.7898132,0.62814792,4,1
110,3.8068854219999997,TAP,2010,1.637049004,35.174959,9008307000,0.033673,10.295208,0.596042338,3,1
111,3.657652785,TAP,2011,0.057249865999999996,108.1945838,8969331000,0.010350338,12.99149913,0.60677454,1,1
112,-8.5,TAP,2020,-0.083333333,-77.02747826,8858160000,-0.009065110999999999,4.214157945,1.2230017340000001,1,0
